,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
0,Geraldton,-28.7667,114.6,31.23,22,7,2.57
1,Pinar del Río,22.4175,-83.6981,19.58,83,26,3.14
2,Corte Madera,37.9255,-122.5275,15.74,74,0,4.02
3,Skeldon,5.8833,-57.1333,23.64,95,99,1.49
4,Huitán,15.1,-91.6167,11.87,86,93,0.77
5,Akoupé,6.39,-3.9003,23.1,99,97,1.02
6,Kez,57.8979,53.7152,6.82,76,100,0.98
7,Guimarães,41.4444,-8.2962,10.08,89,85,1.14
8,Subottsi,48.6554,32.5209,7.81,89,40,2.56
9,Nyzy,50.7828,34.7844,10.27,89,100,5.61
10,Cosmeşti,45.8702,27.3112,11.25,80,3,0.97
11,Entre Rios,-11.9419,-38.0844,21.8,98,12,1.04
12,Yeovil,50.9416,-2.6321,9.45,89,100,5.14
13,Kālol,22.6,73.45,32.69,14,5,4.17
14,Bettange-sur-Mess,49.5758,5.9839,10.16,73,75,6.17
15,Krasnozavodsk,56.45,38.2167,9.17,79,99,2.84
16,Inyonga,-6.7167,32.0667,18.55,96,100,0.99
17,Sesquilé,5.0475,-73.8008,12.1,97,100,0.6
18,Bősárkány,47.6882,17.25,13.19,73,63,8.15
19,Puurs,51.075,4.29,11.72,65,0,4.63
20,Dawukou,39.0419,106.3958,25.36,10,99,5.99
21,Pak Chong,14.708,101.4161,35.12,39,12,1.94
22,Aninoasa,44.9667,25.4333,12.07,99,2,0.99
23,Darien,41.752,-87.974,23.11,61,91,4.92
24,Bahna,46.7833,26.7833,11.01,86,72,0.78
25,Loudéac,48.1783,-2.7543,9.85,97,100,3.04
26,Chipata,-13.6333,32.65,17.29,91,62,1.65
27,Dulce Nombre de Culmí,15.1,-85.5333,27.13,98,99,0.34
28,Szekszárd,46.3501,18.709,10.04,91,85,3.25
29,Qufu,35.5967,116.9911,28.7,37,100,5.45
30,Dumalinao,7.8191,123.3694,28.35,74,50,1.33
31,Carlentini,37.2696,15.0126,15.99,100,0,3.09
32,Hayden,47.766,-116.7866,9.54,79,20,2.06
33,Necaxa,20.2167,-98.0,16.78,85,0,1.6
34,San Pablo City,14.0669,121.3258,29.95,43,3,3.72
35,Butuan,8.9492,125.5436,32.11,56,38,1.6
36,Kent,51.1667,0.6667,10.74,87,100,6.73
37,Quinarayan,17.4441,120.4722,32.21,79,4,4.8
38,Kato Kamila,41.0167,23.4833,14.74,77,4,0.35
39,Muntilan,-7.5811,110.2928,30.34,60,88,2.31
40,Stezzano,45.6507,9.6493,10.2,88,75,4.12
41,Esenyurt,41.0333,28.6753,13.75,82,0,2.06
42,Isparta Province,38.0,31.0,15.42,43,3,0.47
43,Laranjeiras,-10.8064,-37.17,25.79,90,32,1.05
44,Grosse Pointe Park,42.3759,-82.9374,16.35,83,0,2.57
45,Litér,47.101,18.0045,12.58,93,72,2.54
46,Natívitas,19.2333,-98.3167,17.61,52,58,0.31
47,Caibarién,22.5206,-79.4669,22.62,78,33,8.37
48,Yantarnyy,54.8717,19.9381,5.97,88,98,5.9
49,Buy,58.4786,41.53,7.78,85,100,2.89
50,Batăr,46.7,21.8167,9.1,85,50,2.86
51,Colţi,45.3833,26.3833,10.15,79,1,1.32
52,Jatibarang,-6.4747,108.3153,31.39,61,69,1.55
53,La Unión,-5.4,-80.75,21.22,78,52,5.0
54,Tarakeswar,22.885,88.0172,41.28,15,11,3.46
55,Pomoriany,49.6409,24.9307,5.8,83,82,2.43
56,Ittre,50.644,4.2648,11.06,70,100,4.55
57,Binubusan,13.9628,120.6377,32.0,58,5,3.77
58,Damphu,27.0721,90.1096,25.5,56,15,2.76
59,Macalaya,12.8894,123.7711,31.6,61,74,3.26
60,Watertown,42.3709,-71.1828,11.38,39,0,3.09
61,Huambo,-12.7761,15.7392,11.53,82,36,1.16
62,Chetpet,13.0717,80.2438,33.99,72,20,2.57
63,Hostivice,50.0816,14.2586,8.08,73,75,5.36
64,La Orotava,28.3908,-16.5231,15.15,81,69,1.79
65,Tovarkovskiy,53.6822,38.2092,9.62,74,98,4.15
66,Ulfborg,56.2673,8.3217,7.21,81,29,7.02
67,Beverly Hills,34.0736,-118.4004,20.97,48,0,2.57
68,Vodnyy,63.5046,53.4095,1.18,98,100,1.38
69,Vendôme,47.8,1.0667,11.16,99,75,3.18
70,Starokostiantyniv,49.7576,27.2034,6.21,84,55,3.38
71,Eupen,50.6295,6.0382,8.92,67,100,1.03
72,Overyata,58.0868,55.8709,6.73,65,100,0.92
73,Tessaoua,13.7574,7.9874,27.97,17,62,2.61
74,Independence,39.0911,-94.4155,17.66,90,100,3.09
75,Trois-Rivières,46.3501,-72.5491,4.92,39,0,3.09
76,Ciudad del Carmen,18.6333,-91.8333,26.91,80,7,6.06
77,Yuanping,38.7153,112.7575,27.52,11,100,1.04
78,Sinegorskiy,48.0139,40.8447,12.92,69,96,6.04
79,Emsdetten,52.1833,7.5333,8.41,66,0,5.66
